Title,Domain
IBM Cloud and Call for Code Starter kits,cloud computing
Cloud Design Patterns,cloud computing
Modern Data Fabrics on Cloud,cloud computing
The Rise of Cloud Computing and AWS,cloud computing
Moving solutions to the Azure Cloud - There is a s...,cloud computing
Bring Cloud Efficiency to your own Infrastructure,cloud computing
Microsoft Azure with Cloud Computing and Microsoft...,cloud computing
Product Innovation & Digital Transformation,cloud computing
Inside Cloud Computing and infusing AI into applic...,cloud computing
"AWS Storage - S3,Glacier & CloudFront",cloud computing
Amazon Elastic Compute Cloud - EC2,cloud computing
CloudFormation for AWS resource management,cloud computing
Wisdom of the Clouds - How Cloudsourcing will beco...,cloud computing
Internet of Things (IoT) and Salesforce.com,cloud computing
Overview of Watson Family,cloud computing
Service Excellence and Operational Efficiency with...,cloud computing
Cloud orchestration to simplify & accelerate servi...,cloud computing
Making the Docker Container a Foundation of Enterp...,cloud computing
Government's Initiatives On Internet of Things 201...,cloud computing
An Overview and Demonstration of Oracles Public Cl...,cloud computing
Journey to DevOps with HP,cloud computing
Architecting in Cloud : Your Guide to Amazon Web S...,cloud computing
IBM Bluemix  Platform to help developers to Innova...,cloud computing
Successfactors - Time to love work again (a sessio...,cloud computing
Factors for a successful cloud implementation- ser...,cloud computing
From Idiot Box to Smart TV  The transformation und...,cloud computing
Building high availability services on cloud,cloud computing
Introduction to Azure Data Storage,cloud computing
Cloud-enable your Game - Storage and CDN,cloud computing
Cloud-enable your Game - Computation and Match mak...,cloud computing
Cloud-enable your Game,cloud computing
Cloud Enabled Mobile Test Automation,cloud computing
IBM BlueMix - the new cool way to build apps in mi...,cloud computing
From Presentations to Storytelling - Personalized ...,cloud computing
REST APIs in cloud computing,cloud computing
Cloud Assessment Framework,cloud computing
The Mind of the cloud Strategist : Why does Cloud ...,cloud computing
Cloud Computing Series (Session 18): Clouds creati...,cloud computing
Cloud Computing Series (Session 19): Cloud Based D...,cloud computing
Cloud Computing Series (Session 17): Journey to th...,cloud computing
Enterprise Content Management on Cloud  Its simple...,cloud computing
Cloud Computing Series (Session 16): Certificate o...,cloud computing
IT Security Series (Session 6): Cloud Security for...,cloud computing
Cloud Computing Series (Session 15): Secure Migrat...,cloud computing
Cloud Computing Series (Session 14): Mobile Social...,cloud computing
Cloud Computing Series (Session 13): Cloud Computi...,cloud computing
Cloud Computing Series (Session 12): Demystifying ...,cloud computing
Cloud Computing Series (Session 11): The need for ...,cloud computing
Cloud Computing Series (Session 10): SharePoint On...,cloud computing
Cloud Computing Series (Session 9): Virtual Machin...,cloud computing
Cloud Computing Series (Session 8): Service Delive...,cloud computing
Computing Series (Session 7): PaaS: Propelling cloud,cloud computing
Cloud Computing Series (Session 6): Enhancing user...,cloud computing
Cloud Computing Series (Session 5): Enriching your...,cloud computing
Cloud Computing Series (Session 4): Looking at Win...,cloud computing
Cloud Computing Series (Session 3): Microsofts Clo...,cloud computing
Reducing risks and estimation buffers in competiti...,cloud computing
Cloud Computing Series (Session 2) : Getting Start...,cloud computing
Building Multi-tenant configurable high quality ap...,cloud computing
Cloud Computing Series (Session 1): Cloud Computin...,cloud computing
Business Transformation using PaaS (Platform as a ...,cloud computing
Platform based Software Solution,cloud computing
Crash Course in Open Source Cloud Computing,cloud computing
Database as a Service (DBaaS) -- Cloud Computing,cloud computing
Project Management Leadership Series (Session 1): ...,cloud computing
Seamless deployment of Java applications on Window...,cloud computing
Hands on: Windows Azure Diagnostics,cloud computing
The Future Desktop,cloud computing
Intro to Internet of things (M2M),cloud computing
Service Oriented Integration (SOI) - Approaches an...,cloud computing
Software Testing Series (Session 7): Higher Busine...,cloud computing
Cloud Computing Series (Session 8): Cloud Implemen...,cloud computing
Cloud Computing Series (Session 7): Winodws Azure ...,cloud computing
Cloud Computing Series (Session 6): Cloud Computin...,cloud computing
Cloud Storage ,cloud computing
Productized Services ,cloud computing
 CLOUD  Is that service that makes your applications flexible and scalable,cloud computing
Deployment models,cloud computing
Hands-on Windows AWS,cloud computing
A Brief Guide to Virtualization and Cloud Computin...,cloud computing
Smart Robot deployments for greater operational ef...,coding
Highly Effective Tips to increase your coding qual...,coding
Through the Technology Lens : Building your Career...,coding
Solution to Virtual Campus League Coding Problem,coding
Basics of coding in Angular 2 and Introduction to ...,coding
Test Automation Without Coding,coding
Functional Programming Principles,coding
Solid Code A holistic approach to code quality,coding
Code Walkthrough: Coding An HTML 5 Layout From Scr...,coding
Secure Coding in JAVA - Improve security in your w..,coding
Recurrent neural network and LSTM,data science
Transfer Learning and Deep Learning architectures ...,data science
Harnessing Cloud Technologies For Machine Learning,data science
Convolutional Neural Network for Object Detection,data science
Convolutional Neural Network for Image Classificat...,data science
Convolutional Neural Network,data science
Building Blocks of Neural Network - 2,data science
Building Blocks of Neural Network - 1,data science
Artificial Intillegence: Nuts and Bolts of Deep Le...,data science
Artificial Intelligence in Mass Customisation,data science
How to build a career in Data Science,data science
Smart Robot deployments for greater operational ef...,data science
Democratization of Machine Learning and Data Scien...,data science
Introduction to Artificial Intelligence And DataSc...,data science
Importance of Data Governance and Refinement in th...,data science
Deploying Loan Eligibility Prediction Model on Wat...,data science
Precision Marketing : Leveraging Data using Data M...,data science
Emerging Technologies:Machine Learning and Data Sc...,data science
Clearing the picture of Data Science in and around...,data science
Artificial Intelligence Vs Machine Learning Vs Dee...,data science
"Introduction to Machine Learning,Techniques and i...",data science
"Data Science Gains using SAS,R & Python",data science
Data Analytics - Machine Learning,data science
Machine Learning in Easy Pieces,data science
DevOps for the Data World,data science
Countdown to Digital Workforce : An evolution of R...,data science
Making enterprise-critical decisions with Social A...,data science
Preparing for Careers of Tomorrow,data science
Demystifying Security Data Science - Part 2,data science
Predix In Action Panel Presentation,data science
"Internet of Things - Tech,Product Design,Securit...",data science
Data Science : The Art of playing with Data,data science
Multimodal Sentiment Analysis and Context Determin...,data science
Digital Transformation with Disruptive technologie...,data science
Deep Learning on Predix for Image Recognition,data science
Industrial IoT - Get Started with GE's Predix,data science
Artificial Intelligence in Today's Era,data science
Demystifying Security Data Science - Part 1,data science
Data Analytics with R and Python,data science
Neural Networks and Deep Learning,data science
Careers in Data Science | Making a Choice: Busines...,data science
Understanding SVM (Support Vector Machine) Algorit...,data science
Predictive Analytics using R and Java,data science
Record Linkages - A Data Science approach to Match...,data science
Big Data Processing using Spark,data science
Data Science Runway Powering Customer Insights,data science
Data Science: The Next Rock Star,data science
Digital Continuity using Dassault Systemes 3DEXPERIENCE Platform,development process
Understanding the Agile Ways of Working ,development process
"Let Your Productivity Skyrocket with IntelliJ IDEA:development tools,workflow,code refactoring,application profiling",development process
Enterprise-grade UI with open source Lightning Web...,development process
Web Development with HERE Location Services,development process
HTML5 API Driven Development,development process
Best Practices for high performance Angular JS App...,development process
Future of front-end web development: Implications ...,development process
Implementing patterns in javascript,development process
Enterprise class RESTful services,development process
Analyzing Web Application Performance,development process
Insight of JavaScript Framework : Backbone.js,development process
Design Guidelines for Building Scalable Web Applic...,development process
Developing Web Applications In Angular JS,development process
Script Your Own Story  Cover To Cover!,development process
Ten Gold-standard architectural learnings to build...,development process
Liferay (Portal),development process
Cloud-enable your Game - Storage and CDN,development process
Cloud-enable your Game - Computation and Match mak...,development process
Iterator  a powerful but underappreciated pattern,development process
Porting your Apple* iOS* and Android* Apps to HTML...,development process
Project Management - 180 degree overview,development process
Package Selection Process for Web Content and Expe...,development process
The 'What & Why' of Web API and WebAPI Management,development process
Develop Portal/Mobile applications using Web Expererience,development process
Building a multichannel commerce platform,development process
"Web services SOAP,WSDL",development process
User interface and user experience Workshop,development process
PHP - Drupal implementation: Fastest and easiest w...,development process
Five Practical tips to save web applications from ...,development process
Secure Coding in JAVA - Improve security in your w...,development process
Building Intelligent Web Applications,development process
Web 3.0 - The possibilities for developers,development process
Application Modernisation with Anthos,development process
Application Development Part III,development process
Application Development Part II,development process
Application Development Part I,development process
Modern Datawarehousing with Bigquery,development process
UI Design Patterns and Best Practices for Android ...,development process
Production Level Apps Appathon Hackathon,development process
Rise of identity technology in the Fintech space,finance
Collaborate with industry experts to solve real li...,finance
Data Analytics with R and Python,finance
Basics of Cloud,finance
HR analytics in manpower planning using R,finance
"Deep Learning,Artificial Intelligence and its Pra...",finance
Big Data Analytics using Spark Framework,finance
Operations Analytics,finance
Mobility Usage in Lending,finance
Money Transfer Through Financial Messaging,finance
Finance & Accounting Shared Services Transformatio...,finance
Differentiating Products Testing,finance
A Preview: Payment Systems Card Services,finance
Operations Analytics Fintech,finance
Agile for Hardware based multi-disciplinary programs,hardware
MQTT and Internet of Things (IoT),hardware
Service Mesh for Microservices Management,java
Data Quality Transformation from Legacy Systems to...,java
How to build a career in Data Science,java
What's new in Java 13,java
"Asynchronous programming in JavaScript: Promises,...",java
Enterprise-grade UI with open source Lightning Web...,java
"Asynchronous programming in JavaScript: Promises,...",java
"Beginning aPaaS: Low Code Development for Web,Mob...",java
Java and Containers - Make it Awesome,java
Introduction to Pivotal Cloud Foundry,java
Reactive Extensions in Java (RxJava),java
Microservice Real Talk,java
Brief over view of Apache camel and its need in En...,java
Code walkthrough: Using MongoDB with java (basic &...,java
Building Resiliency in Services through Hystrix,java
UI Development with React,java
Enhancing Enterprise Intelligence - Leveraging IT,java
Careers in Technology | What does the future hold?,java
Accelerate Your Digital Transformation Journey wit...,java
Predictive Analytics using R and Java,java
Riding the Digital Transformation Wave,java
Working examples of Java 8 and Groovy code,java
Learn about Oracle's ongoing Java technical and ec...,java
Create a Backbone Application using Marionette JS,java
Git Essentials for Beginners,java
Agile Estimation - Sizing in Story Points,java
Review need and capabilities provided by modern re...,java
Reduce Java software maintenance costs by 30-40% b...,java
Debugging Java applications on Bluemix,java
Platform-as-a-Service Cloud Application on Google ...,java
AngularJS : Superheroic JavaScript MVW Framework,java
Emerging trends in Project Management,java
Making it easier for Java/non-Java developers to a...,java
"Java EE  (JSF,Context Dependency Injections,Bean...",java
Rapid Application Development,java
Rich JavaScript Applications  Building large scale...,java
Kanban for Technical support and operations team  ...,java
Apache CAMEL,java
Implementing Task structure using Work Item templa...,java
Building Micro Service Architecture based applicat...,java
Test Automation Without Coding,java
Beyond Engineering : Business roles in IT Services,java
"Web Services Overview : REST,SOAP and RPC",java
Introduction to In-memory Datagrids,java
Node.js In The Enterprise - A Primer,java
Standard-driven distributed and inter-operable Con...,java
Local and Remote Cache Usage in Java Enterprise Ap...,java
Dawn of the Eclipse,java
Memory Leaks in Java,java
Web Security Vulnerabilities Remediation in Java J...,java
"Lead Generation Tool using Java ,Excel and Access",java
Performance Tuning of J2EE application -- Simplest...,java
Advanced concepts of Java Programming,java
Seamless deployment of Java applications on Window...,java
Java Design Patterns - Useful Variations in Factor...,java
Porting is Avoidable - Extreme OO and Enterprise r...,java
Android Development Series (Session 2): Developing...,java
Java Design Patterns - Strategy Pattern,java
Advance Java Series (Session 3): Java Design Patte...,java
Code Walkthrough: Hibernate - Getting started with...,java
Advance Java Series (Session 2): Java 7- Productiv...,java
Advance Java Series (Session 1): Effective use of ...,java
Code Walkthrough: Using MongoDB with Java,java
Secure Coding in JAVA - Improve security in your w...,java
JAVA Tutorial- Do's and Don'ts of Java programming,java
Corvid by Wix: Accelerated Javascript Development,javascript
"Asynchronous programming in JavaScript: Promises,...",javascript
"Asynchronous programming in JavaScript: Promises,...",javascript
Node.Js Essential Learning Kit,javascript
Reactive Extensions in Java (RxJava),javascript
UI Development with React,javascript
Basics of coding in Angular 2 and Introduction to ...,javascript
HTML5 API Driven Development,javascript
Future of front-end web development: Implications ...,javascript
Implementing patterns in javascript,javascript
Create a Backbone Application using Marionette JS,javascript
Insight of JavaScript Framework : Backbone.js,javascript
Developing Web Applications In Angular JS,javascript
AngularJS : Superheroic JavaScript MVW Framework,javascript
Rich JavaScript Applications Building large scale..,javascript
Microsoft Portfolio and Project Management,management
Life is changing for Leaders in Agile,management
Optimizing Value From Your Products,management
PMP Certification Journey Overview,management
Technology Vision 2020,management
Smart Robot deployments for greater operational ef...,management
Redefining Employee Collaboration and Productivity...,management
People Engagement in Project Management,management
"Beginning aPaaS: Low Code Development for Web,Mob...",management
Payment Trend in Digital Commerce,management
Ethics and Bias in Artificial Intelligence  What D...,management
Practical AI,management
Integrating Deep Learning with ArcGIS using Python,management
Overview of containers and Lenskart's experience w...,management
IoT Projects with Raspberry Pi,management
Salesforce Developer Career Path,management
Changing face of Application testing,management
Accelerating Digital Transformation with Agile,management
PMO Role in Agile Transformation,management
Containerization: A Brief Overview,management
New Grounds in Time Dimension in Earned Value Mana...,management
Comparison between the ISO standard on Project Man...,management
How we will live for 150 years through IoT and Ana...,management
Microsoft Portfolio and Project Management,management
"DELL PM3( Project ,Program,Portfolio) Framework a...",management
Is Agile delivering the expected results?,management
Life is changing for Leaders in Agile!,management
Is there any innovation happening in Agile,management
How to pass Professional Scrum Master (PSM) - the ...,management
BP Agile SDLC: An Efficient Approach to Software R...,management
Using Mind Maps for Effective Project Management,management
PRINCE2 for Value Driven Project Management,management
Transforming Agile Delivery with HP Agile Manager,management
Path to PMP : Cracking Project Integration Managem...,management
Path to PMP,management
Emerging trends in Project Management,management
To be or not to be a Project Manager?,management
Create great teams in record short time - using Ag...,management
Agile Cloud Performance Testing for Modern Apps,management
Non-Functional Requirements. Do we really care?,management
Project Management Certification: Do you need it? ...,management
Benefits of real-time KPIs & Metrics in an Integra...,management
Task Management in MSP 2013,management
Suspect Traceability - A way to manage changing re...,management
How to Set Up Project Management Office,management
Project Management and Beyond,management
Kanban for Technical support and operations team  ...,management
Implementing Task structure using Work Item templa...,management
Product Management  Lessons From The Other Side,management
Top Ten(10) Skills You need to excel in Project Ma...,management
Five Ways to Reduce Risk in Outsourcing,management
Agile Project Planning using Rational CLM Solution,management
Agile Transformation,management
Microsoft Project Series from MVP: Make Your Sched...,management
"Estimation,Earned Value and Forecasting in Projec...",management
Principles of scaling agility,management
Demystifying Agile Methods Series(Session 1): Lear...,management
Program Management Methodology & PgMP Certificatio...,management
Why PMP course is actively sought by Project Manag...,management
Microsoft Project Series: Dont Kill Your Schedule ...,management
Agile testing - Reducing the time to reach the mar...,management
Transforming & Empowering PMOs for Robust Project ...,management
Quality Practices deployed in Agile development me...,management
PMI Project Management Leadership Series: Pull Pla...,management
Increase Project Metabolism to prevent project fai...,management
Project Stakeholders Identification  critical proc...,management
Effective Project Planning in Application Developm...,management
Agile manifesto as it is - for Successful Transfor...,management
Strategic project management for reinventing Zero ...,management
Project Management - 180 degree overview,management
Agile Olympiad,management
"Getting Familiar with Agile & Scrum,including siz...",management
9 Practices to minimize technical debt: An Agile a...,management
Project Management Leadership Series (Session 19) ...,management
Project Management Leadership Series (Session 18) ...,management
Project Management Leadership Series (Session 17) ...,management
Microsoft Project 2010 Series: Session 10: Sharing...,management
Microsoft Project 2010 Series: Session 9 : Report ...,management
Microsoft Project 2010 Series: Session 8 : Track progress of the team,management
Microsoft Project 2010 Live Web Radio : Ask Questi...,management
Agile Implementation Basics,management
Microsoft Project 2010 Series: Session 7 : Keeping...,management
Microsoft Project 2010 Series: Session 6 : Convert...,management
Microsoft Project 2010 Series: Session 5 : Assigni...,management
Microsoft Project 2010 Live Web Radio : Ask Questi...,management
Microsoft Project 2010 Series: Session 4 : Setup p...,management
Practical Project Management for Software Developers,management
Microsoft Project 2010 Series: Session 2 : How to ...,management
CMMI & Agile  A perspective,management
Microsoft Project 2010 Series Session 1: Ready. Set go,management
Project Management Leadership Series (Session 16) ...,management
how to manage team ama,management
Managing Resource Overallocations in Project 2010,management
Critical success factors for Project Risk Management,management
Demystifying GraphQL with Apollo,mobile applications
Mobile Application Development Using Phone Gap,mobile applications
Mobile Application Testing,mobile applications
Mobile application development with IBM MobileFirs...,mobile applications
Becoming a Certified Mobile Application Tester,mobile applications
IBM MobileFirst Platform Foundation - A boon to Mo...,mobile applications
Mobile Application Development : Native Vs Hybrid,mobile applications
Hybrid Mobile Application Development using IBM Wo...,mobile applications
Mobile Application Security-How to take the Bull b...,mobile applications
End to End Testing Mobile Application Testing in ...,mobile applications
Software Testing Series (Session 28): Advanced Mob...,mobile applications
Accelerate Mobile Application Development across m...,mobile applications
Test Automation of Mobile Application using Ration...,mobile applications
"Choosing between Native,Web and Hybrid Mobile App..",mobile applications
"Choosing between Native,Web and Hybrid Mobile App..",cloud computing
Telemetry : Building Block for Data Analytics,networking
UI Development with React,networking
Neural Networks and Deep Learning,networking
Wireless LAN 802.11 Technology Trends,networking
Unified Capacity and Performance Management for yo...,networking
The role of a computer networking expert in the co...,networking
Introduction to the OS X Command Line,networking
Building High Performance Web applications,networking
OS X Yosemite Tips & Tricks,networking
Introduction to AWS Architecture,networking
Learning Fundamentals of Network Administration,networking
Overview of Network Administration & BYOD for Orga...,networking
Automate the Complete Datacenter with the Software...,networking
Networking Technologies and their key differences ...,networking
Network Operating Systems for evolving Networks,networking
Trust in the era of cloud computing: Security & Pr...,security
Service Mesh - Dedicated Infrastructure layer for ...,security
Series: Evolution of digital product security in V...,security
Securely Connect and Scale Remote Workforces,security
Advanced Biometrics,security
Understanding the basics of Biometrics,security
Blockchain - An Overview And Use Cases,security
Application Threat Modeling,security
Security Testing for Modern Applications,security
The Evolution of Incident Management in The Era of...,security
Identity and Trust Based Security Solutions,security
A Peek into Cyber Security,security
Decentralized way of Digital Partnerships - Blockc...,security
Uncomplicate IoT - Demystifying the complex IoT ch...,security
Web Application Security Vulnerabilities & Prevent...,security
Enterprise Policy Enforcement on Containerized Wor...,security
Browser-based attack vectors and how to protect ag...,security
"Better Insights,Better value of your test automat...",security
Security in the Connected World of Safety Critical...,security
"Our Future: Cloud,Microservices,Security and Sca...",security
INFOSEC - protecting the world!!,security
Cryptocurrencies - II,security
"Blockchain concepts,Hyperledger Fabric and Hyperl...",security
Blockchain:Hype vs Reality-if Blockchain is the an...,security
Effective DDoS Protection,security
Open Source Approach to Cyber Security,security
Using Deep Learning for Cybersecurity - Part 2,security
Using Deep Learning for Cybersecurity - Part 1,security
IBM API Connect,security
Demystifying Security Data Science - Part 2,security
"Internet of Things - Tech,Product Design,Securit...",security
Application Security in DevOps - Solving the puzzl...,security
Privacy and Security in Online Social Media,security
Demystifying Security Data Science - Part 1,security
Wearing Hacker's Hat: Web Vulnerabilities,security
Edge-to Cloud with Predix machine and Safeguarding...,security
Wearing Hacker's Hat: Session 3,security
Building Selenium Grid with multi-host Docker Netw...,security
Wearing Hacker's Hat: Session 2,security
Wearing Hacker's Hat: Session 1,security
Understanding Today's Cyber Risks,security
Building the Next-Gen Cybersecurity Operations Cen...,security
Securing Sensitive Data in Hadoop on Azure,security
DgSecure for AWS- Data Centric Approach to Securit...,security
Automation vs Innovation,security
How to stay protected against ransomware,security
Future Cities  Powered by Technology,security
Hacking: How to stay protected against ransomware,security
Who do you think owns your Android Application?,security
BigData- Without Sacrificing Peace of Mind,security
Securing Private and Hybrid Cloud With Advanced Th...,security
"Cyber Security: Introduction to technologies,prac...",security
Ethical Hacking,security
Getting Started with Zend 2 Framework & its Securi...,security
Communication Security and Associated Vulnerabilit...,security
The role of a computer networking expert in the co...,security
Introduction to the OS X Command Line,security
OS X Yosemite Tips & Tricks,security
Mobile Security Measures: Building secure applicat...,security
Cyber security where are we? And where are we goin...,security
Advanced SOC for APTs and other Custom Threats,security
Mobile Application Security-How to take the Bull b...,security
DLL Hijacking and Safe DLL Loading,security
SQL Injections,security
HTML5 Security,security
Is 100% Information Security a Myth?,security
Testing @ Cross Roads,security
Next Generation Ethical Hacking - Live Demo,security
Securing Mobile Applications,security
Delivering freedom to end-users without sacrificin...,security
IT Security Series (Session 7): Domains of ISO 270...,security
Cloud Computing Series (Session 16): Certificate o...,security
IT Security Series (Session 6): Cloud Security for...,security
5-Dimension Approach to secure your Product,security
Cloud Computing Series (Session 15): Secure Migrat...,security
 Importance of Information encryption,security
IT Security Series (Session 4): A Consultant's Vie...,security
Cloud Computing Series (Session 11): The need for encryption,security
IT Security Series (Session 3): Modern day internet safety..,security
IT Security Series (Session 2): Infrastructure Computer Network...,security
Ethical Hacking & Cyber Security Course,security
Introduction to QRadar,security
IBM Managed File Transfer,security
Next Generation Security Intelligence,security
Securing Sensitive Data in Enterprise Environments...,security
Continued focus on IT security,security
Web Security Vulnerabilities Remediation in Java J...,security
"Wireless basics,security and breaches",security
Secure Coding in JAVA - Improve security in your w...,security
"Service Mesh - Dedicated Infrastructure layer for applications that makes communication flexible,reliable and fast",software architechture
Nature and working of NoSql DataBase,software architechture
Software Architecture versus Software design - definition and differentiation,software architechture
Simplifying the Remote Support Experience,software architechture
Learn about the latest features from Uipath - Activity Creator and Workflow Analyzer,web development
Web Application Security Vulnerabilities & Prevention,web development
"Learn HTML,CSS,JS in a fun way short course",web development
Developer Day Hackathon,web development
Software Development Life Cycle Seminar,web development
Informathon,other
UI Design Patterns and Best Practices for Android ...,web development
HTML5 Security,web development
CSS JS cross scripting applications,web development
"The Biggest Bluff – How to Pay Attention,Take Control and Master the Odds",other
The Girls in Tech Conference,other
BuzzConf 2020,other
SAP Virtual Speaker Series | Good Design Needs a Crisis,other
NZ XR – Virtual and Augmented Reality Report Launch,other
Cybersecurity Innovation Day 2020 [Live Webcast],other
Science Speed Dating: Micro Science Talks,other
Virtual Toronto Tech Summit 2020,other
2020 Virtual State of the Atlanta Black Tech Ecosystem #TechDoneRight,other
The Role of Data in Transforming Geotechnical Engineering: COGGE Series,other
Mars 2020 Perseverance Online Launch Participation,other
Attracting Small Birds to Your Garden,other
Microsoft Planner Basics: Manage Tasks and Projects Effectively,other
Transitioning from Academic Science to the Biotech Industry,other
Computer Vision Model Training Made Easy!,other
How To Unlock Your Brain's Potential - Online Webinar,other
THRIVE Demo Day '20,other
GraphQL Summit Worldwide,other
How the Universe Ends | Katie Mack,other
Platzi Women,other
DEFCON Red Team Village CTF Qualifiers,other
BEST Simulink Summer Workshop Online Series,other
Imperial Lates Online: Back to Nature,other
The Black Is Tech Virtual Conference 2020,other
Advanced PowerBI (Virtual) - August 11,other
Enhancing Federal Clean Energy Innovation,other
"Measuring Earth's Gravity,across ACT",other
The Hawaii Variable: A data-based discussion about COVID-19 in Hawaii,other
Understanding COVID-19: A Community's Response,other
Women in Cybersecurity (Virtual),other
Fullstack Cyber Capture the Flag (CTF),other
Black Excellence In Tech: Panel | Online,other
Arson Terror: When Extremists Use Fire as a Weapon,other
Medical Cannabis Speaker & Investor Pitch Competition,other
The Science of Sin,other
Praxical Science Workshops,other
Bridging Healthcare Disparities Through Data and Technology,other
2020 Mars Society International Teleconvention,other
WMD Threats to American Citizens & Infrastructure,other
Urban platypuses: threats and challenges,other
Made In Singapore: Building Singapore’s Digital Future [Online Event],other
"Society,Robots and Us",other
"Wild Ones Heather Holm,presents the Bombus Among Us - Bumble Bee Basics",other
Intro to Computer Vision Part 2: Object Detection [WEBINAR],other
PyData LA 2020,other
Canal digital inteligente,other
From Papyrus to the Web:  Why Books are More Important than Ever,other
Vectorworks Workflow Seminar:  Patching Lighting Fixtures -   Free for a li...,other
The Incel Threat: Mindset Behind the Mass Shootings,other
¿Necesitas aprender a organizarte?,other
How to Break into Tech: Learn to code through Pursuit,other
DoE and National Labs CYBERSECURITY TECHNOLOGIES VIRTUAL SHOWCASE,other
[Virtual Info Session] Thinking About a Tech Career? Start Here.,other
Anti-Semitism: Behind the Escalating Domestic Threat,other
Why (and how) the UK should be powered primarily by offshore wind in 2030,other
Noches Tecnológicas edición Julio,other
High School Summer Seminars with Berkeley Lab,other
Sony STEAM Week (Virtual),other
Week 1 Black Girls Code: Microsoft Small Basic {{BEGINNER}},other
NUS-ISS Learning Festival 2020,other
Geneskool Summer Science Program for Teens,other
UCL CBT Monthly Online Seminars,other
Building Resilience at Scale with Digital Healthcare Tools,other
COVID-19: Translating immune response into new therapeutic strategies,other
FREE! TeenTechSF Summer Workshop Series,other
Project Code: Virtual Orientation and Information Session,other
Sony STEAM Week (Virtual),other
Week 1 Black Girls Code: Microsoft Small Basic {{BEGINNER}},other
Geneskool Summer Science Program for Teens,other
UCL CBT Monthly Online Seminars,other
Building Resilience at Scale with Digital Healthcare Tools,other
Sustainable Oceans Conference,other
COVID-19: Translating immune response into new therapeutic strategies,other
Australian Prawn Farmers Association RD&E Webinar,other
Virtual Café Scientifique | Manipulating the Microbiome - Food Allergy,other
FREE! TeenTechSF Summer Workshop Series,other
Data Privacy in the Age of COVID-19,other
Global XR Bootcamp 2020,other
Project Code: Virtual Orientation and Information Session,other
Online Robotics Job Fair,other
Webinar: Low-Dose Copper for Zebra Mussel Suppresion,other
Founders Live Seattle - Virtual Experience,other
Binance France Webinar : Webinaire Fiscalité et Taxe Française,other
Vectorworks Hidden Treasures Seminar -   Free for a limited time!!!,other
Data Visualisation for the Water Industry,other
2020 Santa Cruz Biotech Startups,other
CoderDojo Online - Brown Bag Session,other
Getting Started in Cybersecurity,other
The Future is Bright: The Photonics Industry in New Zealand and Australia,other
R: Statistical Models – 3 Day workshop,other
R: Shiny,other
Empathy is Not Enough: How to Take Action Towards Inclusion in Design,other
The Language of Genetics & Genomics: Interpreter training session,other
Minnesota Microsoft 365 User Group - August 2020,other
Teen Science Night 2020,other
Evaluating Critical Mineral Commodity Supply Chains,other
[WEBINAR] Intro to Computer Science,other
